epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,250.267,2.91465,2.58614,3.62388,0.02142,1,0.515,0.13404,2.32676,82.2632,4.42387,0.00152826,0.00152826,0.00152826
79,253.346,2.44654,2.53721,3.45762,0.02142,1,0.515,0.13404,2.32676,82.2632,4.42387,0.00154795,0.00154795,0.00154795
80,256.425,2.28585,2.55878,3.50249,0.02142,1,0.515,0.13404,2.32676,82.2632,4.42387,0.00156764,0.00156764,0.00156764
81,259.603,2.57692,2.55618,3.49181,0.02153,1,0.5825,0.09822,2.73604,82.8398,5.33242,0.00158733,0.00158733,0.00158733
82,262.496,2.59729,2.71349,3.51621,0.02153,1,0.5825,0.09822,2.73604,82.8398,5.33242,0.00160701,0.00160701,0.00160701
83,265.927,2.2289,2.75088,3.51657,0.02153,1,0.5825,0.09822,2.73604,82.8398,5.33242,0.00162669,0.00162669,0.00162669
84,268.953,2.89333,2.59813,3.60573,0.02222,1,0.15708,0.03304,2.83604,69.7773,5.95365,0.00164636,0.00164636,0.00164636
85,271.921,2.75375,3.21307,3.54651,0.02222,1,0.15708,0.03304,2.83604,69.7773,5.95365,0.00166603,0.00166603,0.00166603
86,274.606,2.69567,2.70999,3.35771,0.02222,1,0.15708,0.03304,2.83604,69.7773,5.95365,0.00168569,0.00168569,0.00168569
87,277.364,2.28067,2.27143,3.23693,0.02222,1,0.15708,0.03304,2.83604,69.7773,5.95365,0.00170536,0.00170536,0.00170536
88,280.686,2.00328,2.2399,3.27309,0.0216,1,0.10083,0.0283,2.17993,3.92676,3.21053,0.00172501,0.00172501,0.00172501
89,283.601,2.78665,2.96056,3.51304,0.0216,1,0.10083,0.0283,2.17993,3.92676,3.21053,0.00174467,0.00174467,0.00174467
90,286.363,3.06968,2.56347,3.46248,0.0216,1,0.10083,0.0283,2.17993,3.92676,3.21053,0.00176432,0.00176432,0.00176432
91,289.09,2.48146,2.69701,3.47812,0.0216,1,0.10083,0.0283,2.17993,3.92676,3.21053,0.00178396,0.00178396,0.00178396
92,292.105,2.9558,2.74962,3.33339,0.02931,1,0.41628,0.10461,1.97007,5.49412,3.14809,0.0018036,0.0018036,0.0018036
93,295.18,2.38291,2.56937,3.35858,0.02931,1,0.41628,0.10461,1.97007,5.49412,3.14809,0.00182324,0.00182324,0.00182324
94,298.037,2.48311,2.57641,3.26451,0.02931,1,0.41628,0.10461,1.97007,5.49412,3.14809,0.00184287,0.00184287,0.00184287
95,300.729,2.58835,2.64194,3.39073,0.02931,1,0.41628,0.10461,1.97007,5.49412,3.14809,0.0018625,0.0018625,0.0018625
96,303.556,2.44862,2.36351,3.37258,0.03012,1,0.51414,0.1435,2.10964,30.0966,3.2144,0.00188213,0.00188213,0.00188213
97,306.165,2.22159,2.53802,3.05422,0.03012,1,0.51414,0.1435,2.10964,30.0966,3.2144,0.00190175,0.00190175,0.00190175
98,309.184,2.4062,3.00948,3.45147,0.03012,1,0.51414,0.1435,2.10964,30.0966,3.2144,0.00192137,0.00192137,0.00192137
99,312.04,2.80009,3.04448,3.35861,0.03012,1,0.51414,0.1435,2.10964,30.0966,3.2144,0.00194098,0.00194098,0.00194098
100,315.23,2.55748,2.59063,3.21959,0.02265,1,0.731,0.24454,2.44173,69.4078,4.03071,0.00196059,0.00196059,0.00196059
101,318.885,2.77439,2.83124,3.28456,0.02265,1,0.731,0.24454,2.44173,69.4078,4.03071,0.0019802,0.0019802,0.0019802
102,323.32,2.50328,2.38476,3.02098,0.02265,1,0.731,0.24454,2.44173,69.4078,4.03071,0.00198,0.00198,0.00198
103,327.408,2.22953,2.37551,3.3575,0.02265,1,0.731,0.24454,2.44173,69.4078,4.03071,0.0019798,0.0019798,0.0019798
104,330.523,2.26608,2.44484,3.31215,0.02315,1,0.731,0.10785,3.11076,75.678,5.76953,0.00197961,0.00197961,0.00197961
105,333.425,1.79048,2.41733,3.05669,0.02315,1,0.731,0.10785,3.11076,75.678,5.76953,0.00197941,0.00197941,0.00197941
106,336.293,2.33765,2.86075,3.24008,0.02315,1,0.731,0.10785,3.11076,75.678,5.76953,0.00197921,0.00197921,0.00197921
107,339.518,2.09833,2.40265,3.00663,0.02315,1,0.731,0.10785,3.11076,75.678,5.76953,0.00197901,0.00197901,0.00197901
108,343.016,2.34058,2.48335,3.27839,0.0243,1,0.51929,0.11872,2.86677,56.3234,5.46135,0.00197881,0.00197881,0.00197881
109,345.705,1.86085,2.30938,3.35609,0.0243,1,0.51929,0.11872,2.86677,56.3234,5.46135,0.00197862,0.00197862,0.00197862
110,349.034,1.85706,2.40236,3.18178,0.0243,1,0.51929,0.11872,2.86677,56.3234,5.46135,0.00197842,0.00197842,0.00197842
111,352.448,2.14161,2.42148,3.04844,0.0243,1,0.51929,0.11872,2.86677,56.3234,5.46135,0.00197822,0.00197822,0.00197822
112,355.28,2.45518,2.27017,3.19607,0.03206,1,0.50544,0.17057,2.48867,25.2381,4.32054,0.00197802,0.00197802,0.00197802
